Planet Name,Number of Stars,Number of Planets,Discovery Method,Discovery Year,Discovery Facility,Orbital Period (days),Planet Radius (Earth Radius),Planet Mass,Distance From Earth,Release Date
HD 203387 c,1,2,Radial Velocity,2022,Multiple Observatories,2481.07227,,2378.94563,61.7477,6/12/2023 0:00
HD 2039 b,1,1,Radial Velocity,2002,Anglo-Australian Telescope,1120,,1999.1507,85.6922,9/6/2018 0:00
HD 204313 b,1,3,Radial Velocity,2010,La Silla Observatory,2050,,1576.4289,47.7945,6/12/2023 0:00
HD 204313 c,1,3,Radial Velocity,2015,La Silla Observatory,34.95875,,17.16273,47.7945,6/14/2023 0:00
HD 204313 e,1,3,Radial Velocity,2022,Multiple Observatories,27000,,6324.7853,47.7945,4/19/2024 0:00
HD 204941 b,2,1,Radial Velocity,2011,La Silla Observatory,1733,,73.1009,28.7165,9/6/2018 0:00
HD 205158 b,1,1,Radial Velocity,2022,Multiple Observatories,25.33798,,124.58874,86.6159,6/14/2023 0:00
HD 205739 b,1,1,Radial Velocity,2008,Las Campanas Observatory,279.8,,435.41,92.5087,9/25/2014 0:00
HD 206255 b,1,1,Radial Velocity,2019,Las Campanas Observatory,96.045,,34.2,75.2363,5/23/2019 0:00
HD 206610 b,1,1,Radial Velocity,2009,W. M. Keck Observatory,673.2,,647.10188,147.192,12/6/2018 0:00
HD 206893 b,1,2,Imaging,2021,Gemini Observatory,9350,14.011,8899.1954,40.7583,12/5/2022 0:00
HD 206893 c,1,2,Imaging,2022,European Southern Observatory,2090,16.365,4036.42077,40.7583,12/5/2022 0:00
HD 207496 b,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),6.441006,2.564,,23.606,12/4/2023 0:00
HD 20781 b,2,5,Radial Velocity,2019,La Silla Observatory,5.3135,,1.93,35.9715,2/7/2019 0:00
HD 20781 c,2,5,Radial Velocity,2019,La Silla Observatory,13.8905,,5.33,35.9715,2/7/2019 0:00
HD 20781 d,2,5,Radial Velocity,2019,La Silla Observatory,29.158,,10.61,35.9715,2/7/2019 0:00
HD 20781 e,2,5,Radial Velocity,2019,La Silla Observatory,85.5073,,14.03,35.9715,2/7/2019 0:00
HD 20782 b,2,5,Radial Velocity,2006,Anglo-Australian Telescope,597.0643,,472.83,35.9864,2/7/2019 0:00
HD 207832 b,3,2,Radial Velocity,2012,W. M. Keck Observatory,160.07,,177.9848,58.9291,9/27/2018 0:00
HD 207832 c,3,2,Radial Velocity,2012,W. M. Keck Observatory,1155.7,,232.0159,58.9291,9/10/2015 0:00
HD 207897 b,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),16.2017137,2.359,,28.2938,8/30/2024 0:00
HD 20794 b,1,4,Radial Velocity,2011,La Silla Observatory,18.33,,2.82,6.00278,6/8/2017 0:00
HD 20794 d,1,4,Radial Velocity,2011,La Silla Observatory,88.9,,3.52,6.00278,6/8/2017 0:00
HD 20794 e,1,4,Radial Velocity,2017,La Silla Observatory,147.02,,4.77,6.00278,6/8/2017 0:00
HD 208487 b,1,1,Radial Velocity,2004,Anglo-Australian Telescope,129.97,,152.55,45.147,3/26/2015 0:00
HD 208527 b,1,1,Radial Velocity,2012,Bohyunsan Optical Astronomical Observatory,875.5,,3146.4,312.202,5/14/2014 0:00
HD 20868 b,1,1,Radial Velocity,2008,La Silla Observatory,380.85001,,397.2875,47.7223,9/6/2018 0:00
HD 208897 b,1,1,Radial Velocity,2017,Multiple Observatories,358.27,,379.48712,67.4872,9/19/2023 0:00
