Planet Name,Number of Stars,Number of Planets,Discovery Method,Discovery Year,Discovery Facility,Orbital Period (days),Planet Radius (Earth Radius),Planet Mass,Distance From Earth,Release Date
11 Com b,2,1,Radial Velocity,2007,Xinglong Station,323.21,,4914.89849,93.1846,9/19/2023 0:00
11 UMi b,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,,4684.8142,125.321,9/6/2018 0:00
14 And b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,186.76,,1131.1513,75.4392,9/19/2023 0:00
14 Her b,1,2,Radial Velocity,2002,W. M. Keck Observatory,1765.0389,,2559.47216,17.9323,6/12/2023 0:00
16 Cyg B b,3,1,Radial Velocity,1996,Multiple Observatories,799.45,,556.83537,21.1397,9/20/2021 0:00
17 Sco b,1,1,Radial Velocity,2020,Lick Observatory,578.38,,1373.01872,124.953,10/25/2021 0:00
18 Del b,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,982.85,,2926.24614,76.222,9/19/2023 0:00
1RXS J160929.1-210524 b,1,1,Imaging,2008,Gemini Observatory,,,3000,139.135,4/1/2015 0:00
24 Boo b,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.33,,280.64248,95.9863,9/19/2023 0:00
24 Sex b,1,2,Radial Velocity,2010,Lick Observatory,452.8,,632.46,72.0691,5/14/2014 0:00
24 Sex c,1,2,Radial Velocity,2010,Lick Observatory,883,,273.32,72.0691,5/14/2014 0:00
2M0437 b,1,1,Imaging,2021,Subaru Telescope,,,1271.31363,128.484,12/13/2021 0:00
2MASS J01033563-5515561 AB b,2,1,Imaging,2013,Paranal Observatory,,,4131.79,,9/3/2020 0:00
2MASS J01225093-2439505 b,1,1,Imaging,2013,W. M. Keck Observatory,,11.209,,33.8281,9/3/2015 0:00
2MASS J02192210-3925225 b,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,,16.141,4417.837,,5/14/2015 0:00
2MASS J0249-0557 c,2,1,Imaging,2018,Mauna Kea Observatory,,,3686.80952,66.0613,5/13/2024 0:00
2MASS J03590986+2009361 b,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,,5720.91133,117.435,5/8/2024 0:00
2MASS J04414489+2301513 b,1,1,Imaging,2010,Hubble Space Telescope,,,2383.6,,5/14/2014 0:00
2MASS J11011926-7732383 b,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,,8899.1954,,5/8/2024 0:00
2MASS J11550485-7919108 b,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,,6356.56814,100.862,5/7/2024 0:00
2MASS J12073346-3932539 b,1,1,Imaging,2004,Paranal Observatory,,,1589.15,64.308,2/25/2016 0:00
2MASS J19383260+4603591 b,2,3,Eclipse Timing Variations,2015,Kepler,406,,591.16084,396.332,4/19/2022 0:00
2MASS J21252752-8138278 b,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,,3813.94088,34.1154,5/7/2024 0:00
2MASS J22362452+4751425 b,1,1,Imaging,2016,W. M. Keck Observatory,,,3972.875,69.5737,11/10/2016 0:00
30 Ari B b,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001,,4392.4106,44.657,9/6/2018 0:00
4 UMa b,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,270.27,,2511.48007,73.4603,9/19/2023 0:00
42 Dra b,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.1,,1233.13,90.6545,5/14/2014 0:00
47 UMa b,1,3,Radial Velocity,1996,Lick Observatory,1076.6,,774.86566,13.7967,9/20/2021 0:00
47 UMa c,1,3,Radial Velocity,2001,Lick Observatory,2287,,157.96072,13.7967,9/20/2021 0:00
47 UMa d,1,3,Radial Velocity,2009,Lick Observatory,19000,,479.92089,13.7967,9/20/2021 0:00
51 Eri b,3,1,Imaging,2015,Gemini Observatory,11688,,,29.7575,7/11/2019 0:00
51 Peg b,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.2307969,,147.47238,15.4614,5/9/2022 0:00
55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,14.65171,,267.29369,12.5855,5/9/2022 0:00
55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,44.3827,,54.34866,12.5855,9/20/2021 0:00
55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,4820,,908.98924,12.5855,9/20/2021 0:00
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,0.73654625,2.023,,12.5855,12/10/2024 0:00
55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,260.98,,46.87969,12.5855,9/20/2021 0:00
6 Lyn b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,919.86,,597.83523,54.6599,9/19/2023 0:00
61 Vir b,1,3,Radial Velocity,2009,Multiple Observatories,4.21487,,5.11704,8.50332,9/20/2021 0:00
61 Vir c,1,3,Radial Velocity,2009,Multiple Observatories,38.0957,,16.1139,8.50332,9/20/2021 0:00
61 Vir d,1,3,Radial Velocity,2009,Multiple Observatories,123.01,,22.9,8.50332,5/14/2014 0:00
7 CMa b,1,2,Radial Velocity,2011,Anglo-Australian Telescope,,,616.5,19.8101,9/13/2024 0:00
7 CMa c,1,2,Radial Velocity,2019,Multiple Observatories,,,289.9,19.8101,9/13/2024 0:00
70 Vir b,1,1,Radial Velocity,1996,Lick Observatory,116.69335,,2297.89938,17.9011,9/20/2021 0:00
75 Cet b,2,2,Radial Velocity,2012,Okayama Astrophysical Observatory,696.62,,787.89662,82.9613,9/19/2023 0:00
75 Cet c,2,2,Radial Velocity,2023,Okayama Astrophysical Observatory,2051.62,,289.85951,82.9613,9/19/2023 0:00
8 UMi b,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.4,,416.3573,162.552,9/6/2018 0:00
81 Cet b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,1005.57,,1051.05854,101.26,9/19/2023 0:00
91 Aqr b,3,1,Radial Velocity,2013,Lick Observatory,181.4,,1017,44.0304,5/14/2014 0:00
AB Aur b,1,1,Imaging,2022,Subaru Telescope,,,2860.45566,162.127,4/12/2022 0:00
AB Pic b,1,1,Imaging,2005,Paranal Observatory,,,4290.5,50.0475,5/14/2014 0:00
AF Lep b,1,1,Imaging,2023,Paranal Observatory,8030,,1017.0509,26.8564,6/12/2023 0:00
AU Mic b,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46308,3.957,,9.7221,9/28/2024 0:00
AU Mic c,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.85969,2.522,,9.7221,9/28/2024 0:00
AU Mic d,1,3,Transit Timing Variations,2023,Multiple Observatories,12.73596,,1.053,9.7221,10/3/2024 0:00
BD+03 2562 b,1,1,Radial Velocity,2017,Multiple Observatories,481.9,,2034.112,1070.63,6/15/2017 0:00
BD+14 4559 b,1,1,Radial Velocity,2009,McDonald Observatory,268.94,,330.5432,49.352,9/6/2018 0:00
BD+15 2375 b,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,153.22,,337.21763,768.045,2/4/2016 0:00
BD+15 2940 b,1,1,Radial Velocity,2013,McDonald Observatory,137.48,,352.78,426.42,5/14/2014 0:00
BD+20 2457 b,1,2,Radial Velocity,2009,McDonald Observatory,379.63,,17668.1697,1539.71,9/6/2018 0:00
BD+20 2457 c,1,2,Radial Velocity,2009,McDonald Observatory,621.99,,3963.17,1539.71,5/14/2014 0:00
BD+20 274 b,1,1,Radial Velocity,2012,McDonald Observatory,578.2,,1334.886,1322.51,9/18/2015 0:00
BD+20 594 b,1,1,Transit,2016,K2,41.6855,2.578,22.2481,179.461,4/26/2018 0:00
BD+45 564 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,307.88,,432.24663,53.622,5/28/2021 0:00
BD+48 738 b,1,1,Radial Velocity,2011,McDonald Observatory,392.6,,289.2253,871.493,8/13/2015 0:00
BD+48 740 b,1,1,Radial Velocity,2018,Multiple Observatories,733,,540.311,666.589,2/1/2018 0:00
BD+49 828 b,1,1,Radial Velocity,2015,McDonald Observatory,2590,,508.5,442.042,2/5/2015 0:00
BD+55 362 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,265.59,,228.83645,52.5697,5/28/2021 0:00
BD+60 1417 b,1,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,,14.684,4767.4261,44.9543,1/10/2022 0:00
BD+63 1405 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,1230,,3305.41543,38.0473,6/12/2023 0:00
BD-06 1339 c,1,2,Radial Velocity,2013,La Silla Observatory,125.94,,53,20.2695,5/14/2014 0:00
BD-08 2823 b,1,2,Radial Velocity,2009,La Silla Observatory,5.6,,12.7132,41.3342,9/6/2018 0:00
BD-08 2823 c,1,2,Radial Velocity,2009,La Silla Observatory,237.6,,104,41.3342,5/14/2014 0:00
BD-10 3166 b,1,1,Radial Velocity,2000,W. M. Keck Observatory,3.487905,,142.70495,84.4069,5/9/2022 0:00
BD-11 4672 b,1,2,Radial Velocity,2014,La Silla Observatory,1634,,206.5895,27.1665,7/23/2020 0:00
BD-11 4672 c,1,2,Radial Velocity,2020,Roque de los Muchachos Observatory,74.2,,15.37,27.1665,7/23/2020 0:00
BD-13 2130 b,1,1,Radial Velocity,2007,La Silla Observatory,714.29999,,3108.3774,925.214,9/6/2018 0:00
BD-14 3065 b,3,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),4.2889696,20.711,,589.423,8/30/2024 0:00
BD-17 63 b,1,1,Radial Velocity,2008,La Silla Observatory,649,,1366.66215,34.4603,9/16/2024 0:00
BD-210397 b,1,2,Radial Velocity,2023,La Silla Observatory,1891,,214,23.7324,6/27/2023 0:00
BD-210397 c,1,2,Radial Velocity,2023,La Silla Observatory,6240,,1525.57635,23.7324,9/5/2023 0:00
Barnard b,1,1,Radial Velocity,2024,Paranal Observatory,3.1533,,0.37,1.82655,10/7/2024 0:00
CD Cet b,1,1,Radial Velocity,2020,Calar Alto Observatory,2.2907,,3.95,8.60715,11/2/2021 0:00
CFBDSIR J145829+101343 b,1,1,Imaging,2011,W. M. Keck Observatory,10037.5,,3337.1,,5/14/2014 0:00
CFHTWIR-Oph 98 b,1,1,Imaging,2021,Hubble Space Telescope,8040000,20.849,2479.06157,,5/17/2021 0:00
CHXR 73 b,1,1,Imaging,2006,Hubble Space Telescope,,,3994.486,190.374,5/14/2014 0:00
CI Tau c,1,1,Radial Velocity,2024,Multiple Observatories,25.2,,1144.18227,157.998,4/5/2024 0:00
COCONUTS-2 b,1,1,Imaging,2021,NASA Infrared Telescope Facility (IRTF),,12.442,2542.62726,10.8864,11/4/2024 0:00
CT Cha b,1,1,Imaging,2007,Paranal Observatory,,24.66,5403,190.72,5/14/2014 0:00
CoRoT-1 b,1,1,Transit,2008,CoRoT,1.50896877,,,787.909,10/18/2022 0:00
CoRoT-10 b,1,1,Transit,2010,CoRoT,13.23412611,7.385,,338.386,11/20/2024 0:00
CoRoT-11 b,1,1,Transit,2010,CoRoT,2.99328197,21.746,,655.037,10/14/2024 0:00
CoRoT-12 b,1,1,Transit,2010,CoRoT,2.82803915,17.76,,1126.37,8/8/2022 0:00
CoRoT-13 b,1,1,Transit,2010,CoRoT,4.03504444,12.533,,1148.93,8/9/2022 0:00
CoRoT-14 b,1,1,Transit,2010,CoRoT,1.51214,12.218,2358.2986,1744.6,3/21/2019 0:00
CoRoT-16 b,1,1,Transit,2011,CoRoT,5.35227,13.115,168.13207,732.409,3/21/2019 0:00
CoRoT-17 b,1,1,Transit,2011,CoRoT,3.7681,11.433,765.9703,1176.12,3/21/2019 0:00
CoRoT-18 b,1,1,Transit,2011,CoRoT,1.90008625,15.05,,764.889,8/9/2022 0:00
CoRoT-19 b,1,1,Transit,2011,CoRoT,3.8971379,,,790.663,3/4/2024 0:00
CoRoT-2 b,2,1,Transit,2008,CoRoT,1.74299705,,,213.283,3/4/2024 0:00
CoRoT-20 b,1,2,Transit,2011,CoRoT,9.24323029,15.397,,844.061,8/8/2022 0:00
CoRoT-20 c,1,2,Radial Velocity,2018,Multiple Observatories,1675,,5403.11,844.061,7/19/2018 0:00
CoRoT-21 b,1,1,Transit,2012,CoRoT,2.72474,14.572,705.5826,,3/21/2019 0:00
CoRoT-22 b,1,1,Transit,2014,CoRoT,9.75598,4.88,12.2,627.158,8/21/2014 0:00
CoRoT-23 b,1,1,Transit,2011,CoRoT,3.6313,11.769,982.0947,1060.97,3/21/2019 0:00
CoRoT-24 b,1,2,Transit,2014,CoRoT,5.1134,3.7,5.7,591.555,5/31/2018 0:00
CoRoT-24 c,1,2,Transit,2014,CoRoT,11.759,5,28,591.555,6/11/2014 0:00
CoRoT-25 b,1,1,Transit,2013,CoRoT,4.86069,12.106,93.12419,1103.48,3/21/2019 0:00
CoRoT-26 b,1,1,Transit,2013,CoRoT,4.20474,14.123,184.3414,1045.18,3/21/2019 0:00
CoRoT-27 b,1,1,Transit,2014,CoRoT,3.57532,11.287,3273.649,1010.28,3/21/2019 0:00
CoRoT-28 b,1,1,Transit,2015,CoRoT,5.20851,10.705,152.87623,766.183,3/21/2019 0:00
CoRoT-29 b,1,1,Transit,2015,CoRoT,2.85057,10.088,266.9772,806.507,3/21/2019 0:00
CoRoT-3 b,1,1,Transit,2008,CoRoT,4.2567994,11.135,6747.5309,768.771,3/15/2023 0:00
CoRoT-30 b,1,1,Transit,2020,CoRoT,9.06005,11.31,921.707,1032.23,4/16/2020 0:00
CoRoT-31 b,1,1,Transit,2020,CoRoT,4.62941,16.365,266.9772,2005.76,4/16/2020 0:00
CoRoT-35 b,1,1,Transit,2022,CoRoT,3.22748,18.831,349.61125,1123.21,8/1/2022 0:00
CoRoT-36 b,1,1,Transit,2022,CoRoT,5.616531,15.805,216.12332,925.958,8/1/2022 0:00
CoRoT-4 b,1,1,Transit,2008,CoRoT,9.20164964,13.437,,726.412,8/8/2022 0:00
CoRoT-5 b,1,1,Transit,2009,CoRoT,4.0379156,,,882.472,10/18/2022 0:00
CoRoT-6 b,1,1,Transit,2009,CoRoT,8.8866287,,,645.294,10/18/2022 0:00
CoRoT-7 b,1,3,Transit,2009,CoRoT,0.8535,1.528,6.056,159.906,7/18/2022 0:00
CoRoT-7 c,1,3,Radial Velocity,2009,CoRoT,3.697,,13.289,159.906,8/1/2022 0:00
CoRoT-7 d,1,3,Radial Velocity,2022,La Silla Observatory,8.966,,17.142,159.906,8/16/2022 0:00
CoRoT-8 b,1,1,Transit,2010,CoRoT,6.212445,6.938,69.28694,322.037,10/10/2019 0:00
CoRoT-9 b,2,1,Transit,2009,CoRoT,95.272725,,,412.98,10/18/2022 0:00
CoRoTID 223977153 b,1,1,Transit,2017,CoRoT,6.7183678,,,576.683,5/3/2022 0:00
DE CVn b,2,1,Eclipse Timing Variations,2018,Multiple Facilities,4098.1,,3823.2733,30.5225,7/11/2019 0:00
DENIS-P J082303.1-491201 b,1,1,Astrometry,2013,Paranal Observatory,246.36,,9057.77,,5/14/2014 0:00
DH Tau b,1,1,Imaging,2004,Subaru Telescope,,30.264,3496.13,134.846,2/25/2016 0:00
DMPP-1 b,1,4,Radial Velocity,2019,La Silla Observatory,18.57,,24.27,62.5388,1/30/2020 0:00
DMPP-1 c,1,4,Radial Velocity,2019,La Silla Observatory,6.584,,9.6,62.5388,1/30/2020 0:00
DMPP-1 d,1,4,Radial Velocity,2019,La Silla Observatory,2.882,,3.35,62.5388,1/30/2020 0:00
DMPP-1 e,1,4,Radial Velocity,2019,La Silla Observatory,5.516,,4.13,62.5388,1/30/2020 0:00
DMPP-2 b,1,1,Radial Velocity,2019,Multiple Facilities,5.2072,,138.89171,137.94,1/30/2020 0:00
DMPP-3 A b,2,1,Radial Velocity,2019,La Silla Observatory,6.6732,,2.58,45.23,1/30/2020 0:00
DMPP-4 b,1,1,Radial Velocity,2023,Multiple Observatories,3.4982,,12.2,25.3284,8/7/2023 0:00
DP Leo b,2,1,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,8693,,1995.88832,305.684,5/16/2014 0:00
DS Tuc A b,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),8.13822218,6.176,,44.0622,9/16/2024 0:00
EPIC 201170410.02,1,1,Transit,2020,K2,6.7987,1.047,,,11/19/2020 0:00
EPIC 201238110 b,1,1,Transit,2019,K2,28.1696,2.2,,159.259,9/5/2019 0:00
EPIC 201427007 b,1,1,Transit,2021,K2,0.72091,1.5,,706.391,10/25/2021 0:00
EPIC 201497682 b,1,1,Transit,2019,K2,2.13174,0.692,,253.026,6/13/2019 0:00
EPIC 201595106 b,1,1,Transit,2021,K2,0.877214,1.3,,232.1,10/25/2021 0:00
EPIC 201615463 c,1,2,Transit,2019,K2,3.80464,1.22,,476.882,6/13/2019 0:00
EPIC 201754305 d,1,3,Transit,2019,K2,2.71578,1.03,,334.967,6/13/2019 0:00
EPIC 201757695.02,1,1,Transit,2020,K2,2.0478,0.908,,,11/19/2020 0:00
EPIC 201833600 c,1,2,Transit,2019,K2,3.96165,1.48,,257.443,9/5/2019 0:00
EPIC 201841433 b,1,1,Transit,2019,K2,4.1698,1.04,,436.488,11/19/2020 0:00
EPIC 205950854 c,1,2,Transit,2019,K2,8.0516,1.62,,243.935,9/5/2019 0:00
EPIC 206024342 b,1,3,Transit,2019,K2,4.50717,1.44,,369.888,9/5/2019 0:00
EPIC 206024342 c,1,3,Transit,2021,K2,0.911724,1.4,,369.888,10/25/2021 0:00
EPIC 206024342 d,1,3,Transit,2021,K2,14.647531,2.6,,369.888,10/25/2021 0:00
EPIC 206032309 b,1,1,Transit,2019,K2,2.87814,1.01,,161.365,6/13/2019 0:00
EPIC 206042996 b,1,2,Transit,2019,K2,5.2986,1.7,,451.769,3/28/2022 0:00
EPIC 206042996 c,1,2,Transit,2021,K2,0.354884,1.2,,451.769,10/25/2021 0:00
EPIC 206215704 b,1,1,Transit,2019,K2,2.255436,1,,109.888,3/28/2022 0:00
EPIC 206317286 b,1,2,Transit,2019,K2,1.58316,1.22,,314.35,9/5/2019 0:00
EPIC 206317286 c,1,2,Transit,2022,K2,17.515472,2.094,,314.35,3/16/2022 0:00
EPIC 211822797 b,1,1,Transit,2016,K2,21.1701963,1.92,,186.197,9/20/2021 0:00
EPIC 211945201 b,1,1,Transit,2018,K2,19.4921498,,,181.69,3/4/2024 0:00
EPIC 212297394 b,1,2,Transit,2019,K2,2.289363,1.48,,418.395,8/30/2021 0:00
EPIC 212297394 c,1,2,Transit,2021,K2,5.213965,2.27,,418.395,8/23/2021 0:00
EPIC 212424622 b,1,1,Transit,2019,K2,18.0971,2.21,,611.804,9/5/2019 0:00
EPIC 212499991 b,1,1,Transit,2019,K2,34.885,1.6,,283.29,6/13/2019 0:00
EPIC 212587672 b,1,2,Transit,2019,K2,15.28078,1.26,,320.07,8/30/2021 0:00
EPIC 212587672 c,1,2,Transit,2021,K2,23.228555,2.32,,320.07,8/23/2021 0:00
EPIC 212624936 b,1,2,Transit,2021,K2,0.578657,1.2,,561.929,10/25/2021 0:00
EPIC 212624936 c,1,2,Transit,2021,K2,11.811437,2.3,,561.929,10/25/2021 0:00
EPIC 212737443 b,1,2,Transit,2019,K2,13.603,2.586,,336.25,7/25/2019 0:00
EPIC 212737443 c,1,2,Transit,2019,K2,65.55,2.69,,336.25,7/25/2019 0:00
EPIC 220492298 b,1,1,Transit,2021,K2,0.762406,0.99,,624.512,10/25/2021 0:00
EPIC 220554210 c,1,2,Transit,2019,K2,0.70531,1.6,,496.289,3/28/2022 0:00
EPIC 220674823 b,1,2,Transit,2016,K2,0.571292,1.725,8.21,244.59,4/17/2023 0:00
EPIC 220674823 c,1,2,Transit,2016,K2,13.3397,2.836,8.9,244.59,4/17/2023 0:00
EPIC 228836835 b,1,1,Transit,2021,K2,0.728113,1.1,,150.124,10/25/2021 0:00
EPIC 229004835 b,1,1,Transit,2023,K2,16.141132,2.332,10.4,121.971,5/3/2023 0:00
EPIC 246851721 b,2,1,Transit,2018,K2,6.18026139,13.704,,372.632,12/10/2024 0:00
EPIC 248847494 b,1,1,Transit,2018,K2,3650,12.442,4131.79,551.886,7/25/2019 0:00
EPIC 249893012 b,1,3,Transit,2020,K2,3.5951,1.95,8.75,321.296,2/13/2020 0:00
EPIC 249893012 c,1,3,Transit,2020,K2,15.624,3.67,14.67,321.296,2/13/2020 0:00
EPIC 249893012 d,1,3,Transit,2020,K2,35.747,3.94,10.18,321.296,2/13/2020 0:00
FU Tau b,1,1,Imaging,2008,Spitzer Space Telescope,,,6038.73973,,5/8/2024 0:00
G 196-3 b,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,,8263.53858,21.7912,5/8/2024 0:00
G 264-012 b,1,2,Radial Velocity,2021,Calar Alto Observatory,2.30538,,2.5,16.009,7/12/2021 0:00
G 264-012 c,1,2,Radial Velocity,2021,Calar Alto Observatory,8.0518,,3.75,16.009,7/12/2021 0:00
G 9-40 b,1,1,Transit,2019,K2,5.7459982,1.9,4,27.9276,10/22/2024 0:00
GJ 1002 b,1,2,Radial Velocity,2022,Multiple Observatories,10.3465,,1.08,4.84867,12/17/2022 0:00
GJ 1002 c,1,2,Radial Velocity,2022,Multiple Observatories,21.202,,1.36,4.84867,12/17/2022 0:00
GJ 1061 b,1,3,Radial Velocity,2020,La Silla Observatory,3.204,,1.37,3.67278,2/27/2020 0:00
GJ 1061 c,1,3,Radial Velocity,2020,La Silla Observatory,6.689,,1.74,3.67278,2/27/2020 0:00
GJ 1061 d,1,3,Radial Velocity,2020,La Silla Observatory,13.031,,1.64,3.67278,2/27/2020 0:00
GJ 1132 b,1,2,Transit,2015,Cerro Tololo Inter-American Observatory,1.62892911,1.192,1.83705,12.613,9/3/2024 0:00
GJ 1132 c,1,2,Radial Velocity,2018,La Silla Observatory,8.929,,2.64,12.613,6/21/2018 0:00
GJ 1148 b,1,2,Radial Velocity,2010,W. M. Keck Observatory,41.375,,107.74383,11.0143,9/20/2021 0:00
GJ 1148 c,1,2,Radial Velocity,2017,Calar Alto Observatory,535.9,,82.63539,11.0143,9/20/2021 0:00
GJ 1151 c,1,1,Radial Velocity,2023,Multiple Facilities,389.7,,10.62,8.03625,1/23/2023 0:00
GJ 1214 b,1,1,Transit,2009,MEarth Project,1.58040434,,,14.6427,11/6/2024 0:00
GJ 1252 b,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.51824246,1.349,,20.373,9/16/2024 0:00
GJ 1265 b,1,1,Radial Velocity,2018,Calar Alto Observatory,3.6511,,7.4,10.2525,12/6/2018 0:00
GJ 143 b,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),35.6134391,3.122,,16.32,11/6/2023 0:00
GJ 15 A c,2,2,Radial Velocity,2018,Roque de los Muchachos Observatory,7600,,36,3.56228,10/10/2019 0:00
GJ 160.2 b,1,1,Radial Velocity,2014,Multiple Observatories,5.2354,,10.2,25.8557,10/10/2019 0:00
GJ 163 b,1,3,Radial Velocity,2013,La Silla Observatory,8.63182,,10.6,15.1285,1/26/2017 0:00
GJ 163 c,1,3,Radial Velocity,2013,La Silla Observatory,25.63058,,6.8,15.1285,1/26/2017 0:00
GJ 163 d,1,3,Radial Velocity,2013,La Silla Observatory,603.95116,,29.4,15.1285,1/26/2017 0:00
GJ 179 b,1,1,Radial Velocity,2009,W. M. Keck Observatory,2303,,301.93699,12.356,6/12/2023 0:00
GJ 180 b,1,3,Radial Velocity,2014,Multiple Observatories,17.133,,6.49,11.9407,2/13/2020 0:00
GJ 180 c,1,3,Radial Velocity,2014,Multiple Observatories,24.329,,6.4,11.9407,10/10/2019 0:00
GJ 180 d,1,3,Radial Velocity,2020,Multiple Facilities,106.3,,7.56,11.9407,2/13/2020 0:00
GJ 2030 b,1,2,Radial Velocity,2022,Multiple Observatories,2.38129,,4.76743,37.0788,6/14/2023 0:00
GJ 2030 c,1,2,Radial Velocity,2022,Multiple Observatories,25533.11353,,4069.15709,37.0788,6/12/2023 0:00
GJ 2056 b,1,1,Radial Velocity,2020,Multiple Observatories,69.971,,16.2,28.4434,9/3/2020 0:00
GJ 229 A c,3,2,Radial Velocity,2020,Multiple Facilities,121.93268,,8.58137,5.75624,6/14/2023 0:00
GJ 229 b,3,2,Radial Velocity,2014,Multiple Observatories,579.47495,,14.93794,5.75624,6/14/2023 0:00
GJ 238 b,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),1.7446999,0.566,,15.2142,8/7/2024 0:00
GJ 251 b,1,1,Radial Velocity,2020,W. M. Keck Observatory,14.238,,4,5.58057,3/4/2021 0:00
GJ 27.1 b,1,1,Radial Velocity,2014,Multiple Observatories,15.819,,13,23.6062,10/10/2019 0:00
GJ 273 b,1,2,Radial Velocity,2017,La Silla Observatory,18.6498,,2.89,5.921535,3/30/2017 0:00
GJ 273 c,1,2,Radial Velocity,2017,La Silla Observatory,4.7234,,1.18,5.921535,3/30/2017 0:00
GJ 3021 b,2,1,Radial Velocity,2000,La Silla Observatory,133.71,,1071.04,17.5559,5/14/2014 0:00
GJ 3082 b,1,1,Radial Velocity,2020,Multiple Facilities,11.949,,8.2,16.6186,2/13/2020 0:00
GJ 3090 b,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),2.8531016,2.021,,22.4751,10/14/2024 0:00
GJ 3138 b,1,3,Radial Velocity,2017,La Silla Observatory,1.22003,,1.78,28.4712,3/30/2017 0:00
GJ 3138 c,1,3,Radial Velocity,2017,La Silla Observatory,5.974,,4.18,28.4712,3/30/2017 0:00
GJ 3138 d,1,3,Radial Velocity,2017,La Silla Observatory,257.8,,10.5,28.4712,3/30/2017 0:00
GJ 317 b,1,2,Radial Velocity,2007,W. M. Keck Observatory,695.36,,588.93604,15.1968,9/20/2021 0:00
GJ 317 c,1,2,Radial Velocity,2018,W. M. Keck Observatory,7500,,531.72692,15.1968,9/20/2021 0:00
GJ 3222 b,2,1,Radial Velocity,2022,Multiple Observatories,10.66669,,11.44182,18.23817,6/14/2023 0:00
GJ 328 b,1,2,Radial Velocity,2013,McDonald Observatory,3771,,797.7493,20.5266,7/10/2023 0:00
GJ 328 c,1,2,Radial Velocity,2023,Roque de los Muchachos Observatory,241.8,,21.4,20.5266,7/10/2023 0:00
GJ 3293 b,1,4,Radial Velocity,2015,La Silla Observatory,30.5987,,23.54,20.1903,3/30/2017 0:00
GJ 3293 c,1,4,Radial Velocity,2015,La Silla Observatory,122.6196,,21.09,20.1903,3/30/2017 0:00
GJ 3293 d,1,4,Radial Velocity,2017,La Silla Observatory,48.1345,,7.6,20.1903,3/30/2017 0:00
GJ 3293 e,1,4,Radial Velocity,2017,La Silla Observatory,13.2543,,3.28,20.1903,3/30/2017 0:00
GJ 3323 b,1,2,Radial Velocity,2017,La Silla Observatory,5.3636,,2.02,5.37484,3/30/2017 0:00
GJ 3323 c,1,2,Radial Velocity,2017,La Silla Observatory,40.54,,2.31,5.37484,3/30/2017 0:00
GJ 3341 b,1,1,Radial Velocity,2015,La Silla Observatory,14.207,,6.6,23.619,12/3/2014 0:00
GJ 338 B b,2,1,Radial Velocity,2020,Calar Alto Observatory,24.422,,10.6,6.33256,1/18/2023 0:00
GJ 3470 b,1,1,Radial Velocity,2012,La Silla Observatory,3.33665106,4.131,,29.4214,12/10/2024 0:00
GJ 3473 b,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1.19799956,1.211,,27.3644,2/16/2024 0:00
GJ 3473 c,2,2,Radial Velocity,2020,Multiple Observatories,15.509,,7.41,27.3644,10/22/2020 0:00
GJ 3512 b,1,2,Radial Velocity,2019,Calar Alto Observatory,203.69,,146.20107,9.48637,7/18/2022 0:00
